iter	Logloss
0	0.6793018054
1	0.6759196321
2	0.6646531715
3	0.6609590203
4	0.6578951037
5	0.652468861
6	0.6478854545
7	0.6445342029
8	0.6429129524
9	0.6408704261
10	0.6363171444
11	0.6341356295
12	0.6241705113
13	0.6208951589
14	0.6189842882
15	0.6162856769
16	0.613916
17	0.612882249
18	0.6122489786
19	0.6101408842
20	0.603498924
21	0.6006909446
22	0.598860218
23	0.5970645184
24	0.5957836397
25	0.5927486187
26	0.5911836248
27	0.5896203668
28	0.5868297179
29	0.5856473021
30	0.5847422951
31	0.5843538599
32	0.584068906
33	0.5834746652
34	0.5809136212
35	0.5800155371
36	0.5794368478
37	0.5788384
38	0.5782939033
39	0.5771699596
40	0.5756018681
41	0.5745660045
42	0.5741670783
43	0.5733282605
44	0.5730514968
45	0.5727108656
46	0.5719587518
47	0.5714469378
48	0.5712362258
49	0.5693751794
50	0.5692567112
51	0.5686010147
52	0.5681513059
53	0.5673158864
54	0.5667039197
55	0.5664653375
56	0.5653461578
57	0.5651753457
58	0.5648070619
59	0.564713335
60	0.5643871491
61	0.5641104736
62	0.5637456849
63	0.5629574513
64	0.562840223
65	0.5625943124
66	0.5615994701
67	0.5615328166
68	0.5600931765
69	0.5586660843
70	0.557885374
71	0.5574393052
72	0.5558595666
73	0.5550224779
74	0.5539005478
75	0.5538138896
76	0.5537138476
77	0.5536431478
78	0.5529369983
79	0.5526507452
80	0.5522203895
81	0.5519980186
82	0.5504857319
83	0.5502457754
84	0.5493040758
85	0.5485336732
86	0.547999668
87	0.5471741527
88	0.54679538
89	0.5463770153
90	0.5459137329
91	0.5446697293
92	0.5440655287
93	0.5440062806
94	0.5433983314
95	0.5430916373
96	0.5425229425
97	0.5419081648
98	0.5410499573
99	0.5406613755
100	0.5402950832
101	0.5399354345
102	0.5396677016
103	0.5393746684
104	0.5386325244
105	0.5382229622
106	0.5379150193
107	0.5375790366
108	0.5369804003
109	0.5367610635
110	0.535918672
111	0.53565841
112	0.5350591597
113	0.5347437024
114	0.5345920337
115	0.5343451051
116	0.5342308103
117	0.5334839521
118	0.5330153532
119	0.5323085184
120	0.5322669589
121	0.5320690526
122	0.5317031464
123	0.5311246956
124	0.5308444966
125	0.5305863166
126	0.530067511
127	0.5300396445
128	0.5297335039
129	0.5295171219
130	0.5290859768
131	0.528781481
132	0.5283776291
133	0.5277268001
134	0.527473626
135	0.5271666562
136	0.5271380741
137	0.5268457164
138	0.5263847706
139	0.5260922769
140	0.5257144682
141	0.5252381789
142	0.5249762346
143	0.5247415176
144	0.5245557495
145	0.524415178
146	0.5234953117
147	0.5227697778
148	0.5223656728
149	0.5222943378
150	0.5221126831
151	0.5219262711
152	0.5216532015
153	0.5213685353
154	0.5210906188
155	0.5209050076
156	0.5205623589
157	0.5204130089
158	0.5199143468
159	0.5195966478
160	0.5191266003
161	0.5189805221
162	0.5187646336
163	0.518428992
164	0.5183843681
165	0.5182924716
166	0.5179971966
167	0.5178320087
168	0.517621977
169	0.51725523
170	0.5172154987
171	0.5170512849
172	0.5169243482
173	0.5164910594
174	0.5164091614
175	0.5162083046
176	0.5159865707
177	0.5155143999
178	0.5152989693
179	0.5148462667
180	0.5144007681
181	0.5142888268
182	0.5142370163
183	0.5141210869
184	0.5139360102
185	0.5137291296
186	0.5135049684
187	0.5131818342
188	0.5130331489
189	0.5124998541
190	0.5124185855
191	0.5122972063
192	0.512239746
193	0.5120294072
194	0.5119059992
195	0.5117488037
196	0.5113109864
197	0.5109588626
198	0.510906371
199	0.5107677117
200	0.510654417
201	0.5105487543
202	0.5103175454
203	0.5101455632
204	0.51010877
205	0.5097759657
206	0.5097456464
207	0.509543888
208	0.5091891132
209	0.5090553363
210	0.5090109937
211	0.5088420786
212	0.5085618998
213	0.5084540304
214	0.5083833307
215	0.5081583073
216	0.5081274794
217	0.5077508516
218	0.5076506646
219	0.5075405378
220	0.5074906
221	0.5072708239
222	0.5071782631
223	0.5071524078
224	0.5068816927
225	0.5066000708
226	0.5062460301
227	0.5062198206
228	0.5061403966
229	0.5060524534
230	0.506013448
231	0.5058494675
232	0.5055760927
233	0.5055070588
234	0.5053232273
235	0.5052788874
236	0.5051951141
237	0.5051413735
238	0.5047834481
239	0.504701008
240	0.504584751
241	0.5043964263
242	0.5042968118
243	0.5037890055
244	0.5036855982
245	0.5035592005
246	0.5031805948
247	0.5031210442
248	0.5030172323
249	0.5029356414
250	0.5028754316
251	0.5028376995
252	0.5027875434
253	0.502522844
254	0.5024617407
255	0.5021243116
256	0.5020605978
257	0.5017132367
258	0.5009698061
259	0.500635005
260	0.5002716815
261	0.5002116706
262	0.4996266936
263	0.4991421377
264	0.4991009548
265	0.4990342638
266	0.4988458926
267	0.4983481319
268	0.4983071538
269	0.4979983529
270	0.4978426205
271	0.4974605232
272	0.4972391438
273	0.4968036348
274	0.4966696849
275	0.4965905784
276	0.4965219717
277	0.4963392251
278	0.4961127026
279	0.4959625498
280	0.4958235827
281	0.4957571008
282	0.4956995753
283	0.495596828
284	0.4955295139
285	0.4954444147
286	0.4950692297
287	0.4950205487
288	0.4945522592
289	0.4941615139
290	0.4941211232
291	0.4940559467
292	0.4940241171
293	0.493986397
294	0.493801266
295	0.4937405607
296	0.4936673588
297	0.4932415759
298	0.4930036509
299	0.4928355012
