iter	Passed	Remaining
0	202	60556
1	241	36036
2	279	27633
3	314	23304
4	353	20852
5	395	19398
6	430	18031
7	464	16936
8	497	16098
9	533	15480
10	567	14919
11	598	14357
12	636	14050
13	674	13775
14	707	13441
15	745	13227
16	784	13061
17	830	13012
18	874	12937
19	920	12887
20	960	12757
21	1003	12680
22	1039	12518
23	1072	12331
24	1100	12108
25	1130	11917
26	1163	11769
27	1195	11610
28	1236	11555
29	1274	11474
30	1307	11348
31	1335	11188
32	1373	11115
33	1416	11083
34	1460	11059
35	1501	11009
36	1537	10931
37	1574	10853
38	1609	10769
39	1648	10717
40	1685	10644
41	1720	10571
42	1759	10515
43	1793	10433
44	1826	10348
45	1860	10275
46	1894	10199
47	1927	10117
48	1965	10067
49	2009	10045
50	2052	10022
51	2097	10002
52	2141	9981
53	2186	9961
54	2223	9903
55	2258	9841
56	2297	9794
57	2336	9750
58	2375	9703
59	2418	9675
60	2457	9627
61	2500	9598
62	2540	9556
63	2578	9509
64	2615	9455
65	2651	9400
66	2689	9353
67	2727	9307
68	2765	9259
69	2806	9221
70	2853	9202
71	2897	9175
72	2939	9140
73	2980	9103
74	3019	9058
75	3057	9012
76	3099	8975
77	3135	8925
78	3172	8875
79	3203	8809
80	3236	8750
81	3266	8683
82	3302	8634
83	3331	8566
84	3365	8511
85	3395	8449
86	3432	8403
87	3468	8356
88	3505	8311
89	3542	8265
90	3592	8250
91	3641	8232
92	3686	8205
93	3727	8169
94	3762	8118
95	3796	8067
96	3836	8029
97	3876	7989
98	3917	7953
99	3957	7914
100	3992	7866
101	4026	7815
102	4060	7766
103	4103	7733
104	4145	7698
105	4182	7654
106	4221	7615
107	4267	7587
108	4306	7546
109	4342	7499
110	4374	7448
111	4409	7401
112	4447	7360
113	4483	7315
114	4517	7266
115	4551	7218
116	4580	7164
117	4615	7119
118	4652	7075
119	4688	7032
120	4719	6981
121	4754	6936
122	4787	6889
123	4818	6839
124	4853	6795
125	4891	6754
126	4926	6711
127	4966	6673
128	5005	6634
129	5044	6596
130	5082	6556
131	5131	6530
132	5171	6493
133	5209	6453
134	5245	6411
135	5297	6388
136	5340	6354
137	5375	6310
138	5411	6268
139	5447	6225
140	5480	6179
141	5515	6137
142	5547	6090
143	5588	6054
144	5630	6019
145	5671	5981
146	5713	5946
147	5756	5912
148	5801	5878
149	5832	5832
150	5867	5789
151	5895	5740
152	5926	5694
153	5955	5645
154	5987	5601
155	6014	5552
156	6045	5506
157	6083	5467
158	6125	5432
159	6162	5392
160	6204	5356
161	6247	5322
162	6291	5288
163	6329	5249
164	6367	5209
165	6399	5166
166	6437	5126
167	6470	5084
168	6499	5037
169	6527	4991
170	6555	4945
171	6581	4898
172	6610	4852
173	6641	4809
174	6667	4762
175	6697	4718
176	6727	4674
177	6760	4633
178	6795	4593
179	6831	4554
180	6865	4513
181	6897	4471
182	6933	4433
183	6965	4391
184	6998	4350
185	7030	4309
186	7064	4269
187	7100	4230
188	7138	4192
189	7174	4153
190	7209	4114
191	7241	4073
192	7275	4033
193	7313	3995
194	7346	3955
195	7384	3918
196	7421	3880
197	7457	3841
198	7488	3800
199	7521	3760
200	7561	3724
201	7598	3686
202	7642	3651
203	7677	3613
204	7711	3573
205	7751	3536
206	7788	3499
207	7824	3460
208	7863	3423
209	7901	3386
210	7940	3349
211	7981	3313
212	8021	3276
213	8061	3239
214	8097	3201
215	8133	3163
216	8163	3122
217	8201	3085
218	8238	3046
219	8269	3006
220	8304	2968
221	8338	2929
222	8368	2889
223	8399	2849
224	8431	2810
225	8468	2772
226	8502	2734
227	8536	2695
228	8567	2656
229	8599	2617
230	8632	2578
231	8671	2541
232	8715	2506
233	8760	2470
234	8804	2435
235	8845	2398
236	8882	2361
237	8923	2324
238	8964	2287
239	9003	2250
240	9043	2214
241	9081	2176
242	9116	2138
243	9155	2101
244	9191	2063
245	9226	2025
246	9262	1987
247	9294	1948
248	9332	1911
249	9368	1873
250	9406	1836
251	9442	1798
252	9477	1760
253	9517	1723
254	9560	1687
255	9601	1650
256	9640	1613
257	9682	1576
258	9717	1538
259	9753	1500
260	9792	1463
261	9822	1424
262	9860	1387
263	9897	1349
264	9929	1311
265	9965	1273
266	10000	1236
267	10032	1197
268	10064	1159
269	10099	1122
270	10129	1083
271	10165	1046
272	10200	1008
273	10238	971
274	10273	933
275	10309	896
276	10347	859
277	10378	821
278	10410	783
279	10439	745
280	10469	707
281	10499	670
282	10531	632
283	10559	594
284	10593	557
285	10626	520
286	10659	482
287	10693	445
288	10731	408
289	10769	371
290	10798	333
291	10829	296
292	10861	259
293	10892	222
294	10921	185
295	10954	148
296	10982	110
297	11018	73
298	11053	36
299	11086	0
